#{"t_start": 1789805690.1339798, "env_id": "MicroDuck-v1"}
r,l,t
33.413339,31,18.917461
46.908425,29,18.946991
13.268697,28,18.974257
18.503061,17,18.98973
21.977612,26,19.014074
21.242775,27,19.038073
8.300907,15,19.053033
47.96735,37,19.089119
16.501235,20,19.108489
12.897866,11,19.119613
12.40783,8,19.127591
30.661572,25,19.153847
28.956064,17,19.170311
19.737235,12,19.181637
21.311109,21,19.202106
10.386583,35,19.233823
14.43636,11,19.245633
35.706761,25,19.273602
13.748446,7,19.282086
26.133365,23,19.303616
47.022618,53,19.357085
24.817922,28,19.387629
20.176487,26,19.4123
29.410063,34,19.447575
35.665258,30,19.474502
43.91615,56,19.524341
8.076476,11,19.534315
25.60687,17,19.550272
26.638151,16,19.752544
23.032175,22,19.776442
9.010709,15,19.790404
20.208087,21,19.810351
31.193498,28,19.835285
23.148612,26,19.860217
31.727437,20,19.878714
25.165331,21,19.898247
17.53031,45,19.940134
32.0456,29,21.214782
48.436378,42,21.257424
55.253471,30,21.291334
39.940248,28,21.322018
25.602006,17,21.342748
24.017391,27,21.383639
22.298534,22,21.40957
25.590502,22,21.434504
32.543191,29,21.467416
60.688483,60,21.536729
26.935775,20,21.556676
13.284669,13,21.57357
26.465057,33,21.605484
31.950529,19,21.625431
35.438314,26,21.652358
17.989287,14,21.667318
29.75087,16,21.684275
21.837685,19,21.704247
37.473359,27,21.730151
34.317916,31,21.759073
7.505244,14,21.773035
24.784088,27,21.798968
34.943081,38,21.832876
27.669334,21,21.85382
5.372807,11,21.863793
18.516756,21,21.882743
18.625409,19,21.899838
19.194654,11,21.910781
33.600204,19,21.929731
35.097834,25,21.953704
24.904538,21,21.972528
17.653201,22,21.992474
16.250327,12,22.003445
18.263264,22,22.022547
17.907915,11,22.032521
29.730302,18,22.055712
33.202484,25,22.081643
28.604762,42,22.123084
16.153674,16,22.138668
67.701002,47,22.179709
14.397366,8,22.187339
23.210232,22,22.208311
16.887112,19,22.226465
17.266952,17,22.242228
18.162339,17,22.258832
13.940916,8,22.267883
21.568717,18,22.283842
28.798771,22,22.305756
36.471507,30,22.33556
31.053646,25,22.358164
16.69991,8,22.366338
27.870887,16,22.381058
24.37973,12,22.392056
36.25721,24,22.414507
17.884019,9,22.423483
19.586848,11,22.433673
25.544017,31,22.462077
15.070992,15,22.476042
30.894092,17,22.492965
11.705657,13,22.504934
32.398916,34,22.537368
2.943863,12,22.548022
14.646992,16,22.562984
33.100917,26,22.588054
12.786526,16,22.613857
24.553047,29,22.64333
22.852346,20,22.662577
13.251057,14,22.676643
22.015911,22,22.697558
30.762926,44,22.74707
44.255388,29,22.775999
30.137343,55,22.825471
4.322278,16,22.839689
28.255387,23,22.859748
11.822574,16,22.876478
26.449965,21,22.901379
23.367982,22,22.921936
21.928393,23,22.943904
15.598281,12,22.955462
32.25283,35,22.987291
12.077233,15,23.002073
21.243534,22,23.023381
45.001898,29,23.049867
23.065183,29,23.076839
37.66422,32,23.10839
9.37557,13,23.120399
21.675824,13,23.133535
23.621595,26,23.161482
25.728572,22,23.182426
23.451307,23,23.205364
41.061136,38,23.24027
64.654651,33,24.474917
40.801681,29,24.504957
32.12399,30,24.536873
26.859692,16,24.55283
19.495587,13,24.567789
35.500952,21,24.590728
37.123381,25,24.616658
7.584229,13,24.633613
43.853912,26,24.665531
14.442885,24,24.688467
22.610679,24,24.710408
69.433258,43,24.752296
33.090121,39,24.796179
84.110203,47,24.841058
34.903822,28,24.867603
22.820933,18,24.883587
9.944103,12,24.895347
41.316733,29,24.921252
36.439708,46,24.967127
12.5584,20,24.986929
32.814662,24,25.00887
65.738075,61,25.06774
10.279722,16,25.082672
21.899946,26,25.105639
47.043838,34,25.136556
15.179925,24,25.159467
73.075266,58,25.213686
64.170802,47,25.258484
26.919927,19,25.27843
28.414998,34,25.314335
31.711241,26,25.345251
8.208944,13,25.359214
20.587873,15,25.37381
27.701183,22,25.393757
21.157145,19,25.41305
40.158067,27,25.438981
20.599305,32,25.469898
25.46491,15,25.483861
21.816591,12,25.494831
47.644973,33,25.526488
47.379064,37,25.561396
42.704617,37,25.599294
38.959602,31,25.63121
26.084727,15,25.647194
50.307401,34,25.681075
31.106056,29,25.708003
19.027765,17,25.722964
23.656329,20,25.741912
14.54456,33,25.77283
38.235136,25,25.796765
21.520656,12,25.808734
25.093281,30,25.83666
25.321063,22,25.8586
4.973389,15,25.876552
45.505233,40,25.914267
77.922879,40,25.951168
27.690096,27,25.980091
86.861183,42,26.020982
44.383212,31,26.048908
17.533426,19,26.066859
21.187197,13,26.079825
35.907871,42,26.117722
31.663139,25,26.14166
22.07791,20,26.161606
32.32867,19,26.179557
4.615892,11,26.19352
11.679246,12,26.204492
23.807438,16,26.219452
28.061213,22,26.239398
21.393069,18,26.255355
34.16108,49,26.306219
34.331261,33,26.336138
34.35659,23,26.35808
51.254313,59,26.413501
47.900716,32,26.442934
38.897987,35,27.707842
8.878355,31,27.740754
18.906726,11,27.751725
32.111717,20,27.771671
