#{"t_start": 1789799363.266284, "env_id": "Walker2d-v5"}
r,l,t
328.926655,201,35.849192
413.419278,276,36.076591
290.748024,163,36.203811
272.283189,169,36.334203
299.722901,176,36.46984
223.153789,133,36.575552
241.648222,409,36.919469
291.40575,159,38.095305
238.870929,137,38.210002
52.451355,159,38.334615
338.316775,233,38.514162
187.80175,116,38.602958
316.936154,334,38.869364
22.614184,140,38.978074
245.757895,160,39.102953
361.173126,221,39.277688
111.521318,163,39.406105
241.32571,147,39.522496
197.725127,361,40.828334
304.160232,165,40.958079
267.131076,149,41.075764
301.954989,169,41.210435
284.748169,220,41.381531
612.054857,484,41.764482
233.446603,332,42.04031
336.065269,229,42.221825
194.083246,135,43.32562
337.362079,217,43.511187
358.562005,400,43.830055
306.8012,169,43.963698
203.498009,112,44.054486
265.541472,164,44.187161
460.637095,337,44.912084
280.827029,181,45.054833
350.528686,229,45.234741
223.081294,127,45.341563
432.273479,331,46.594798
357.687239,233,46.790548
269.237305,167,46.928349
338.063707,189,47.079178
264.06786,149,47.196866
235.896416,143,47.312824
298.034158,403,47.640984
536.598614,373,47.963238
859.135553,759,49.584643
250.996392,144,49.699329
277.194154,171,49.83437
238.088284,142,49.945609
373.048463,237,50.139124
338.431017,256,50.347206
368.800251,256,50.548325
57.961383,162,51.672365
360.057044,245,51.87871
99.081111,168,52.013357
259.698212,141,52.126193
1103.774493,983,52.914794
340.484709,206,53.07596
228.827847,153,53.193645
221.792697,131,53.296119
345.893196,199,54.498209
270.179324,164,54.628396
259.679406,133,54.730154
368.036661,222,54.90272
157.128565,91,54.974558
227.568329,139,55.084325
374.203106,247,55.281679
136.674081,222,55.460315
322.770701,193,55.614944
293.894047,168,55.74665
276.629889,150,55.863075
601.176292,503,57.297745
284.954935,166,57.426431
309.030064,170,57.559105
248.567834,131,57.660863
326.001371,210,57.827768
170.819958,96,58.410931
297.606868,180,58.553077
294.677366,193,58.707863
229.91432,133,58.810724
189.754721,109,58.895455
294.312608,156,59.018131
294.00933,168,60.18054
210.155983,110,60.273909
213.827351,101,60.355701
273.938931,145,60.470396
198.61388,101,60.55124
262.54599,152,60.669923
207.912545,129,60.768723
339.209304,192,60.926969
329.966924,202,61.08358
206.011756,104,61.162187
255.54628,158,61.286468
335.994373,197,61.442115
333.160027,181,61.583768
185.395507,99,61.660561
242.395558,130,61.760358
223.159195,127,62.896713
278.95941,152,63.030178
109.013057,198,63.185869
330.127229,221,63.359207
279.983698,157,63.483441
263.760787,150,63.602154
342.900502,186,63.750798
292.945735,166,63.884374
254.560487,131,63.989128
343.697542,218,64.161726
282.07167,163,64.295001
212.053828,125,64.393991
384.836059,229,65.603314
278.19669,143,65.723068
509.180209,390,66.032634
271.813475,157,66.161669
241.560513,133,66.270022
370.929025,240,66.456627
367.126477,494,66.851725
390.089642,237,67.041185
253.807444,139,68.131678
287.671199,174,68.284904
209.632558,113,68.376306
295.418254,182,68.517931
323.254959,183,68.662601
349.409612,209,68.857698
314.481808,177,69.012505
393.443999,272,69.231974
233.87679,106,69.313787
317.049832,170,69.446651
395.268388,224,69.627199
384.875021,212,70.774462
261.909718,144,70.893143
263.0353,134,71.003173
382.979484,217,71.173292
571.335008,396,72.054223
261.388844,141,72.169245
266.464537,155,72.290625
317.724195,161,72.42126
374.884784,227,72.601867
306.043943,175,72.739501
290.673051,151,72.858244
