#{"t_start": 1789798998.3340058, "env_id": "Hopper-v5"}
r,l,t
214.634038,99,30.185883
210.984418,94,30.267684
222.346077,99,30.357015
199.975167,90,30.428853
227.544921,103,30.510635
242.015163,113,30.5984
230.671123,102,30.676729
219.374031,96,30.753505
225.711344,101,30.831297
201.361787,90,30.901142
213.824884,94,30.97395
208.105488,96,31.04875
217.32801,99,31.127745
211.198696,100,31.203826
206.867975,93,31.280593
208.245099,92,31.351432
211.311717,95,31.430221
217.237444,96,31.506019
206.816466,94,31.579931
220.924462,98,31.653732
205.103102,93,31.726807
225.524199,101,32.820759
212.151638,99,32.912135
167.730573,81,32.979953
218.332595,96,33.055751
222.159985,99,33.132903
225.919752,102,33.216262
210.131175,96,33.291092
199.700415,89,33.359907
207.114624,97,33.44166
217.480273,98,33.521446
235.375989,106,33.614229
212.770959,95,33.689025
214.209384,96,33.763697
233.989985,103,33.845466
227.744719,102,33.925252
235.458292,106,34.00803
214.366926,97,34.082831
278.872241,118,34.177247
232.35371,102,34.258814
233.152883,103,34.338264
234.256016,105,34.419017
243.446407,106,35.50641
227.641006,101,35.60415
239.093248,106,35.6945
246.826882,106,35.77585
231.173321,104,35.859626
234.165868,104,35.941471
217.722884,96,36.021224
227.598688,102,36.102037
288.156316,123,36.198059
260.211902,116,36.289116
231.523677,106,36.371895
233.726754,108,36.456399
228.64538,103,36.542166
225.807762,100,36.619524
224.615553,101,36.697968
232.793651,103,36.777464
174.879035,82,36.841324
223.268276,97,36.91712
231.887707,100,36.994975
217.271482,99,37.069775
220.517046,98,38.115565
244.567924,107,38.217865
243.289433,113,38.315217
264.702491,116,38.406536
252.353263,108,38.490274
278.389323,135,38.594994
216.434368,98,38.670822
230.822554,103,38.749213
295.243372,126,38.846069
273.376719,116,38.93486
227.630208,108,39.020684
225.528437,102,39.098447
236.020082,107,39.183103
216.313851,97,39.257372
227.953807,102,39.336064
244.265691,107,39.418843
233.070348,105,39.506225
220.27038,100,39.58504
240.900455,105,39.667031
230.622929,102,40.805267
238.194306,108,40.896993
230.678578,103,40.9798
253.366875,108,41.064606
261.97994,114,41.152384
231.606704,106,41.237551
237.577408,104,41.32335
285.117857,121,41.418097
222.404434,102,41.502842
220.249724,98,41.580675
271.927298,114,41.668429
262.18193,116,41.763352
248.533606,108,42.179275
294.977511,120,42.276847
251.33403,107,42.360652
231.707293,103,42.440438
255.459969,110,42.526269
267.054544,116,42.617026
227.705388,99,42.694819
258.64743,110,43.739362
242.190737,106,43.824135
258.344204,111,43.912899
258.113739,108,43.996704
242.954874,109,44.080504
228.451156,104,44.159318
290.783853,123,44.254098
270.983525,116,44.344496
253.927128,111,44.429832
232.961079,105,44.513639
253.817144,112,44.600405
266.229282,114,44.695419
271.499953,115,44.784288
300.68117,121,44.878037
266.255085,113,44.964839
285.263876,120,45.056664
252.191312,109,45.14047
276.203413,117,45.233144
293.16094,122,46.350882
288.567355,121,46.459591
278.579328,117,46.550386
283.300107,119,46.64516
297.009614,132,46.750551
287.107301,123,46.84594
280.858131,120,46.939689
223.311863,104,47.0205
301.125483,129,47.120336
290.474668,119,47.211081
269.295853,113,47.299845
256.838649,111,47.385644
267.458803,116,47.47544
237.082887,104,47.559182
249.42386,109,47.643984
245.512972,107,47.727394
257.835753,112,47.814856
289.388152,119,48.884918
334.356178,133,48.995638
291.399623,117,49.088397
329.469745,132,49.193205
292.665071,125,49.298992
289.415042,121,49.394742
283.723926,121,49.49544
315.158744,128,49.596168
317.729877,131,49.698448
284.196216,119,49.792832
312.870222,128,49.889573
271.716148,121,49.984326
295.016734,121,50.07907
298.812176,127,50.175838
311.414763,128,50.27773
308.99525,136,50.38245
313.339035,134,50.490169
348.187481,134,51.67119
282.133849,118,51.779253
269.097842,114,51.867046
317.921813,132,51.969805
284.220353,119,52.063582
270.495363,116,52.15437
322.531621,128,52.253887
313.989548,131,52.355615
312.345144,127,52.453384
308.32825,131,52.554665
303.518113,123,52.653401
300.550096,121,52.753319
329.55621,131,52.866981
307.368526,129,52.966817
312.426885,125,53.062561
337.792937,133,53.165891
298.360733,124,54.262814
322.904418,133,54.382206
265.60952,113,54.472006
330.267688,129,54.580717
289.40128,119,54.675471
335.62705,135,54.780302
338.372649,136,54.88605
287.404965,120,54.978832
321.979393,129,55.078596
350.343414,137,55.571501
305.691703,127,55.671265
313.124366,133,55.776987
320.155298,131,55.879989
325.242341,128,55.979751
298.699252,124,56.075635
306.106028,127,56.172818
341.972504,131,57.250862
312.323784,125,57.374284
316.28415,129,57.475045
319.358757,133,57.578803
328.30342,132,57.678535
349.427037,139,57.790211
316.935494,127,57.888911
322.026772,133,57.994658
335.759704,132,58.095457
346.710464,136,58.199732
340.131063,136,58.305046
320.28292,128,58.404809
316.819043,130,58.505713
345.088445,134,58.609144
338.477244,137,58.712558
359.876501,142,59.839498
324.509012,130,59.943221
338.313691,139,60.056988
335.575456,138,60.166699
366.131834,141,60.276502
342.240684,134,60.381323
326.571845,133,60.484051
327.627889,134,60.58781
309.495237,129,60.686545
337.027166,141,60.796334
344.786403,141,60.906864
367.872059,147,61.025577
338.504328,137,61.135515
343.003068,136,61.241193
329.82663,130,61.347925
377.097812,145,62.489339
340.987105,136,62.606531
305.501965,128,62.714887
318.640168,130,62.815242
323.600375,132,62.918968
349.4254,140,63.024817
331.272981,136,63.128544
354.869943,136,63.232258
337.734245,142,63.342962
361.579683,146,63.457822
333.358438,130,63.564536
289.017908,123,63.661838
314.161541,130,63.766237
341.343441,138,63.872952
321.040483,132,63.975675
348.90221,139,64.083385
350.114654,137,65.202736
345.631073,137,65.332979
337.905531,139,65.443837
345.873033,140,65.552578
354.405287,145,65.66733
333.872978,142,65.784844
340.727586,141,65.897544
344.389264,133,66.002305
375.122416,143,66.118054
360.020954,139,66.233865
341.956764,138,66.347532
356.686756,141,66.459672
361.069949,147,66.578383
360.095804,145,66.695071
392.979063,151,67.844553
333.435238,139,67.965259
374.489138,153,68.1119
367.496181,147,68.226215
350.348805,140,68.333919
380.259463,148,68.451769
377.252585,148,69.009979
353.591338,141,69.120683
376.26845,147,69.238105
359.445262,144,69.349444
371.778431,148,69.465068
353.573214,138,69.573835
383.465159,148,69.688141
378.131884,147,69.810424
