#{"t_start": 1789795640.4167995, "env_id": "Ant-v5"}
r,l,t
-10.715178,40,73.912056
-19.99042,83,73.99728
-102.875154,63,74.058629
-995.100018,1000,76.299736
-46.527369,34,76.334642
-8.821706,18,76.351573
-967.480596,1000,77.44232
-128.162348,111,77.554087
-26.669287,27,77.581985
-18.377044,52,78.83941
-12.207146,16,78.859356
-60.773359,74,78.947146
-100.652831,98,79.046624
-38.036423,45,79.098485
-14.362831,26,79.125569
6.067426,18,79.143521
0.070565,16,79.159479
-21.263668,19,79.178428
-7.53196,15,79.194385
-104.449475,151,79.353991
-74.451878,69,79.426357
-80.497478,104,79.537062
-61.426191,34,79.569975
-47.569618,81,79.649797
-37.882553,57,79.71861
-54.337661,42,79.759558
-18.532078,64,79.830002
-1.6883,28,79.856903
-51.391962,87,79.941269
-0.285944,12,81.413645
-20.447696,24,81.439444
-53.236702,39,81.47834
-11.286793,23,81.501277
-914.458571,1000,83.763544
-7.450331,13,83.783492
-6.5461,17,83.808425
-20.338466,15,83.825378
-42.555717,23,83.848315
-15.985333,13,83.861284
-30.086246,20,83.881229
-6.597402,12,83.893198
-19.457079,26,83.918645
-34.248303,39,83.957536
-24.111395,13,83.971498
-29.180161,41,84.013349
-41.300433,57,84.0682
-47.416132,45,84.11289
-15.384075,14,84.125849
-31.8934,44,84.170105
-5.672628,18,84.187088
-26.185802,47,84.239946
-49.176181,23,84.26186
-8.187915,21,84.290789
-67.90529,72,84.365615
-51.427092,62,84.430415
-18.501032,21,84.455348
-10.996984,41,84.505214
-25.022593,28,84.537714
-3.74954,17,84.553672
-69.751113,49,84.605535
-53.99897,54,84.661516
-52.958017,36,84.696395
-8.793058,14,84.711354
-38.184945,27,84.748286
-16.199285,22,84.769879
-34.989503,30,84.798775
-35.559524,44,84.852628
-27.924367,69,84.919479
-15.249611,15,84.934409
-40.100303,26,84.958922
-95.590459,125,85.087626
-32.126182,31,85.117904
-45.846056,42,85.162782
-16.053758,13,85.185287
-22.728746,22,85.20779
-41.278388,36,85.243693
-6.514153,22,85.276639
-13.109214,28,85.307559
-147.436468,136,85.447188
-15.891209,17,85.467162
-60.499817,41,85.508086
-12.444148,30,85.537977
-87.956715,92,85.651968
-28.910139,23,85.679893
-1.023094,19,85.698816
-14.156078,14,85.712806
-17.638182,22,85.734752
-34.558718,46,85.77966
-87.82189,91,87.050647
-7.137579,12,87.062615
-81.452423,74,87.142586
-50.414977,71,87.215882
-90.745967,132,87.349037
-31.218022,49,87.39869
-14.36316,57,87.457039
-80.473396,44,87.513433
-56.56051,60,87.57627
-4.29022,13,87.59422
-70.747848,48,87.650787
-25.539749,15,87.665749
-24.098805,67,87.73257
-6.580284,9,87.742543
-87.110409,96,87.838529
-24.319248,28,87.866454
-32.174047,64,87.937078
-36.902463,22,87.959015
-10.711217,11,87.972844
-56.546266,36,88.007749
-35.41257,18,88.025702
-11.069474,60,88.084296
-17.880801,25,88.111449
-30.662212,17,88.13037
-74.01113,58,88.187716
-7.537919,24,88.21369
-52.710832,42,88.267828
4.893234,37,88.306598
-79.426242,83,88.404048
-34.009414,25,88.428982
-84.253076,54,88.483834
-23.225774,74,88.558633
-18.779094,19,88.578581
-26.75918,23,88.601548
-35.761906,88,88.696863
-91.977861,111,88.810822
-176.920606,236,89.065083
-84.749239,81,89.147556
17.52178,48,90.365584
-25.473092,50,90.420455
-23.111503,29,90.456359
-28.045038,35,90.495255
-69.361036,70,90.570038
-131.550927,135,90.754771
-18.301281,17,90.791674
-19.631478,40,90.848521
-4.864321,38,90.908361
-13.036694,26,90.947473
-21.881897,54,91.018285
-24.375676,37,91.062166
-63.37333,36,91.104478
-19.358228,56,91.172295
-89.025591,100,91.3064
-29.979944,64,91.387183
-12.977014,30,91.417104
-131.641648,79,91.493972
-13.063073,13,91.505923
-54.664768,39,91.545818
-198.746916,130,91.677592
-39.256403,64,91.745478
-32.45923,57,91.803316
-51.669138,69,91.872679
-12.455008,27,91.898609
-769.811202,794,93.970554
-84.725195,64,94.047538
-1.616356,14,94.063493
-13.846996,19,94.082444
-67.347189,52,94.132424
-3.479508,11,94.143401
-56.255892,59,94.200799
-37.34175,45,94.245668
-20.480848,23,94.268641
-70.301117,46,94.313522
-5.451614,14,94.327487
-10.922838,27,94.353418
-99.320498,89,94.444145
-73.325879,153,94.596798
-36.529692,63,94.65783
-51.178155,143,94.806083
-14.191164,14,94.820068
-84.67224,126,94.949723
-21.736184,11,94.964681
-70.569117,60,95.028483
-20.237563,30,95.05843
-84.326176,57,95.115387
-31.804754,28,95.14431
-32.200908,21,95.165283
-26.920243,37,95.202187
-70.372986,52,95.258725
-62.721785,80,95.346518
18.661382,37,95.384389
-10.761711,15,95.400347
-68.4766,62,95.475737
-104.59722,61,95.547575
-28.481041,29,95.576468
0.358856,23,95.599407
-11.938702,11,95.610405
-9.242955,15,95.625547
-976.090462,1000,97.928366
-33.315015,45,97.977262
-10.235536,29,98.007156
-25.659323,16,98.023113
-23.737389,12,98.041064
-22.701221,16,98.063007
-43.55054,40,98.104558
-63.009863,43,98.14944
-67.749158,43,98.403171
-29.957473,19,98.423119
-7.325133,18,98.442068
-32.939327,18,98.461016
-40.240691,58,98.542799
-55.531811,59,98.618815
-11.334075,11,98.631404
-17.114113,32,98.664314
-56.489167,47,98.718169
-53.314856,38,98.770696
-3.980104,25,98.808594
-47.907092,46,98.862449
-73.100497,43,98.907358
-20.541573,39,98.946284
-57.465016,56,99.009116
-18.376737,39,99.051111
-160.513038,165,99.229348
-23.854696,48,99.276221
-31.465888,25,99.302158
-21.079533,11,99.313128
-14.012449,24,99.337125
-31.600322,39,99.383003
-34.102544,17,99.399987
-16.09284,36,99.435889
-13.924865,11,99.446859
-89.986858,118,99.561624
-71.487195,49,99.625592
-49.203728,51,99.674998
